number_of_packets,average_packet_length,number_of_unique_dests,TCP_protocol_count,UDP_protocol_count,Packet_length_variance,Inter_arrival_time_variance,label
3,274.67,2,3,0,52965.33,0.0,messaging
2,276.0,2,2,0,8.0,8.72,messaging
3,199.67,2,3,0,19302.33,0.0,messaging
2,202.0,2,2,0,8.0,0.23,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,217.67,2,3,0,25006.33,2.68,messaging
2,198.5,2,2,0,0.5,2.06,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,262.0,2,3,0,45988.0,2.69,messaging
4,309.0,2,4,0,47566.0,0.74,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,219.33,2,3,0,25020.33,3.23,messaging
2,236.0,2,2,0,3698.0,1.13,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,195.0,2,3,0,18019.0,3.77,messaging
2,217.5,2,2,0,760.5,1.13,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,195.67,2,3,0,18194.33,3.75,messaging
2,207.5,2,2,0,544.5,1.16,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,195.67,2,3,0,18186.33,3.75,messaging
2,194.5,2,2,0,0.5,1.13,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,193.67,2,3,0,17730.33,3.79,messaging
2,200.0,2,2,0,8.0,1.12,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,198.67,2,3,0,18890.33,3.79,messaging
2,200.5,2,2,0,40.5,1.09,messaging
1,40.0,1,1,0,0.0,0.0,messaging
5,264.6,2,5,0,58319.3,0.3,messaging
3,168.67,2,3,0,13860.33,0.03,messaging
5,356.4,2,5,0,54982.3,0.09,messaging
3,199.33,2,3,0,19089.33,3.79,messaging
3,206.33,2,3,0,28940.33,0.16,messaging
5,241.2,2,5,0,39633.2,0.02,messaging
3,144.67,2,3,0,8217.33,0.13,messaging
3,197.67,2,3,0,18644.33,3.13,messaging
3,147.67,2,3,0,8714.33,1.06,messaging
3,195.67,2,3,0,18176.33,3.16,messaging
3,142.67,2,3,0,7914.33,1.04,messaging
3,196.67,2,3,0,18409.33,3.23,messaging
3,145.67,2,3,0,8374.33,1.01,messaging
2,273.0,2,2,0,2.0,5.02,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,143.67,2,3,0,8072.33,0.98,messaging
5,310.8,2,5,0,51871.7,0.57,messaging
3,218.0,2,3,0,24547.0,0.48,messaging
3,340.0,2,3,0,69181.0,1.13,messaging
3,210.33,2,3,0,22102.33,2.98,messaging
3,148.0,2,3,0,8757.0,1.15,messaging
3,196.67,2,3,0,18409.33,3.0,messaging
3,145.0,2,3,0,8281.0,1.13,messaging
3,195.0,2,3,0,18025.0,3.02,messaging
3,141.33,2,3,0,7710.33,1.14,messaging
3,194.67,2,3,0,17942.33,3.0,messaging
8,268.0,2,8,0,52979.71,0.43,messaging
5,334.0,2,5,0,77728.5,0.24,messaging
3,237.0,2,3,0,32529.0,0.13,messaging
3,146.0,2,3,0,8431.0,1.36,messaging
3,198.0,2,3,0,18724.0,2.68,messaging
3,142.67,2,3,0,7921.33,1.36,messaging
3,195.0,2,3,0,18049.0,2.68,messaging
3,145.0,2,3,0,8269.0,1.34,messaging
3,195.0,2,3,0,18039.0,2.67,messaging
3,143.33,2,3,0,8009.33,1.36,messaging
3,196.67,2,3,0,18408.33,2.68,messaging
3,144.33,2,3,0,8166.33,1.34,messaging
3,192.0,2,3,0,17344.0,2.67,messaging
3,141.33,2,3,0,7710.33,1.34,messaging
3,193.33,2,3,0,17634.33,2.68,messaging
3,145.67,2,3,0,8376.33,1.36,messaging
5,360.0,2,5,0,77130.5,0.54,messaging
3,206.67,2,3,0,21157.33,1.14,messaging
3,247.33,2,3,0,55344.33,0.51,messaging
3,217.33,2,3,0,24881.33,4.31,messaging
3,145.0,2,3,0,8269.0,0.51,messaging
5,273.8,2,5,0,70895.2,0.67,messaging
2,231.5,2,2,0,2380.5,0.96,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,313.67,2,3,0,67090.33,0.02,messaging
2,194.5,2,2,0,0.5,10.61,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,200.67,2,3,0,19360.33,0.02,messaging
2,187.5,2,2,0,4.5,10.61,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,196.0,2,3,0,18256.0,0.03,messaging
2,190.0,2,2,0,0.0,10.54,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,196.67,2,3,0,18433.33,0.03,messaging
2,197.5,2,2,0,4.5,10.52,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,197.67,2,3,0,18646.33,0.03,messaging
2,191.5,2,2,0,24.5,10.45,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,195.67,2,3,0,18180.33,0.03,messaging
2,195.5,2,2,0,4.5,10.32,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,193.67,2,3,0,17722.33,0.04,messaging
2,193.5,2,2,0,0.5,10.25,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,197.33,2,3,0,18569.33,0.04,messaging
2,194.0,2,2,0,0.0,10.19,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,195.67,2,3,0,18180.33,0.04,messaging
2,195.5,2,2,0,4.5,10.15,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,196.0,2,3,0,18253.0,0.05,messaging
2,194.0,2,2,0,8.0,10.12,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,219.33,2,3,0,25801.33,0.05,messaging
2,195.5,2,2,0,60.5,2.03,messaging
3,441.67,2,3,0,229572.33,0.0,messaging
5,231.2,2,5,0,19231.7,1.63,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,197.33,2,3,0,18590.33,7.92,messaging
3,149.33,2,3,0,8966.33,0.0,messaging
5,194.2,2,5,0,9062.7,4.76,messaging
1,40.0,1,1,0,0.0,0.0,messaging
4,195.75,2,4,0,12064.92,5.99,messaging
2,120.5,2,2,0,12960.5,0.0,messaging
4,333.5,2,4,0,24593.67,0.9,messaging
1,40.0,1,1,0,0.0,0.0,messaging
3,147.0,2,3,0,8769.0,2.81,messaging
3,217.0,2,3,0,24199.0,0.0,messaging
4,176.75,2,4,0,9806.25,5.87,messaging
2,251.0,2,2,0,89042.0,0.0,messaging
3,145.0,2,3,0,8275.0,7.85,messaging
3,198.67,2,3,0,18890.33,0.0,messaging
