Timestamp,Start Timestamp,TLS Handshake,Source IP,Destination IP,Port,Retrain,Label
1563814241.996912,1563814241.996912,No,10.118.1.100,10.116.1.162,5061,"[[0.         0.         0.         0.44949418 0.         0.07834645
  0.9700175  0.         0.         0.38222173 0.         0.
  1.4719641  0.         0.50644046 0.79505765 2.34921    0.
  0.         0.        ]]",messaging
1563814244.288964,1563814241.996912,No,10.118.1.100,10.116.1.162,5061,"[[0.         0.         0.7893365  0.09622779 0.         0.5572896
  0.         1.2119277  0.         1.5313749  0.         0.65967214
  0.61691403 0.         1.2437594  0.         0.7701544  0.
  0.         0.        ]]",messaging
1563814244.291062,1563814241.996912,No,10.116.1.162,10.118.1.100,61696,"[[0.         0.         0.93301964 0.22242154 0.         0.4912143
  0.         1.2714705  0.         1.5356693  0.         0.6263216
  0.27440566 0.         1.0961237  0.         0.702693   0.
  0.         0.        ]]",messaging
1563814244.318002,1563814241.996912,No,10.118.1.100,10.116.1.162,5061,"[[0.         0.         0.7588729  0.0829275  0.         0.45682684
  0.         1.2972313  0.         1.6031367  0.         0.7643432
  0.50770897 0.         1.3043218  0.         0.6708657  0.
  0.         0.        ]]",messaging
1563814244.318539,1563814241.996912,No,10.116.1.162,10.118.1.100,61696,"[[0.         0.         0.6729961  0.         0.         0.2902752
  0.         1.4513642  0.         1.6865468  0.         0.890121
  0.49575886 0.         1.1599176  0.         0.7065296  0.
  0.         0.        ]]",messaging
1563814244.320186,1563814241.996912,No,10.118.1.100,10.116.1.162,5061,"[[0.         0.         0.6770897  0.08641537 0.         0.43192056
  0.         1.3856666  0.         1.5776184  0.         0.8679405
  0.47413576 0.         1.2707921  0.         0.6253556  0.
  0.         0.        ]]",messaging
1563814244.321452,1563814241.996912,No,10.116.1.162,10.118.1.100,61696,"[[0.         0.         0.8587683  0.06543621 0.         0.25485367
  0.         1.3215272  0.         1.739835   0.         0.7330664
  0.24461965 0.         1.3197527  0.         0.5499289  0.
  0.         0.        ]]",messaging
1563814244.372865,1563814241.996912,No,10.118.1.100,10.116.1.162,5061,"[[0.         0.         0.         0.44949418 0.         0.07834645
  0.9700175  0.         0.         0.38222173 0.         0.
  1.4719641  0.         0.50644046 0.79505765 2.34921    0.
  0.         0.        ]]",messaging
1563814248.040415,1563814241.996912,No,10.118.1.100,10.116.1.162,5061,"[[0.         0.         0.770306   0.19443291 0.         0.38373336
  0.         1.3708003  0.         1.5834001  0.         0.7927316
  0.2959369  0.         1.2044952  0.         0.59747773 0.
  0.         0.        ]]",messaging
1563814248.042498,1563814241.996912,No,10.116.1.162,10.118.1.100,61696,"[[0.         0.         0.8132873  0.02518897 0.         0.22589433
  0.         1.3390449  0.         1.7875359  0.         0.7705739
  0.29368648 0.         1.3909339  0.         0.5238347  0.
  0.         0.        ]]",messaging
1563814248.095678,1563814241.996912,No,10.118.1.100,10.116.1.162,5061,"[[0.         0.         0.         0.44949418 0.         0.07834645
  0.9700175  0.         0.         0.38222173 0.         0.
  1.4719641  0.         0.50644046 0.79505765 2.34921    0.
  0.         0.        ]]",messaging
1563814249.308205,1563814241.996912,No,10.116.1.162,10.118.1.100,61696,"[[0.         0.         0.7529119  0.10766823 0.         0.30663148
  0.         1.3736322  0.         1.688225   0.         0.8301242
  0.32010242 0.         1.3433857  0.         0.5549594  0.
  0.         0.        ]]",messaging
